            iwo |      2017-04-27 |              10 |               0 |             100 |              99 |               0
            iwo |      2017-04-27 |              10 |               1 |             100 |              99 |               1
            iwo |      2017-04-27 |              10 |               1 |             100 |              99 |               1
            iwo |      2017-04-27 |              10 |               1 |             100 |              99 |               1
            iwo |      2017-04-27 |              10 |               1 |             100 |              99 |               1
            iwo |      2017-04-27 |              10 |               1 |             100 |              99 |               1
            iwo |      2017-04-27 |              10 |               3 |             100 |              99 |               3
            iwo |      2017-04-27 |              10 |               1 |             100 |              99 |               1
            iwo |      2017-04-27 |              10 |               1 |             100 |              99 |               1
            iwo |      2017-04-27 |              10 |               1 |             100 |              99 |               1
           adam |      2017-04-27 |              10 |               4 |             100 |              99 |               4
           adam |      2017-04-27 |              10 |               4 |             100 |              99 |               4
           adam |      2017-04-27 |              10 |               1 |             100 |              99 |               1
            iwo |      2017-04-27 |              10 |               1 |             100 |              99 |               1
           adam |      2017-04-27 |              10 |               1 |             100 |              99 |               1
           adam |      2017-04-27 |              10 |               1 |             100 |              99 |               1
           adam |      2017-04-27 |              10 |               0 |             100 |              99 |               0
           adam |      2017-04-27 |              10 |               0 |             100 |              99 |               0
           adam |      2017-04-27 |              10 |               1 |             100 |              99 |               1
            dfs |      2017-04-27 |              10 |               1 |             100 |              99 |               1
            dsf |      2017-04-27 |              10 |               0 |             100 |              99 |               0
           adam |      2017-04-27 |              10 |               1 |             100 |              99 |               1
